stratum	universe	variant_class	endpoint	baseline	donors	full_minus_baseline_pp	ci95_low_pp	ci95_high_pp	donors_better	donors_tied	donors_worse
EAS	shared_new_sites	SNV	all	old_full	20	17.565971528827774	17.544363238226342	17.59158149012422	20	0	0
EAS	shared_new_sites	SNV	all	old_hprc	20	0.3076769463383977	0.2452555601938483	0.37113711076642353	20	0	0
EAS	shared_new_sites	SNV	nonref	hprc	20	0.35824086801197197	0.14195080343783473	0.5810842348351937	13	0	7
EAS	shared_new_sites	SNV	nonref	old_full	20	14.656998479385376	13.855620750742467	15.428637173846319	20	0	0
EAS	shared_new_sites	SNV	nonref	old_hprc	20	0.48838954295238324	0.2672390899573432	0.7099910734353934	16	0	4
EAS	shared_new_sites	SV_length_site	all	hprc	20	1.5842618384401153	0.923023336816442	2.195504443282803	15	1	4
EAS	shared_new_sites	SV_length_site	all	old_full	20	14.397632311977715	13.882598850374507	14.90774356843214	20	0	0
EAS	shared_new_sites	SV_length_site	all	old_hprc	20	2.681058495821731	2.0369080779944366	3.325802395817165	18	2	0
EAS	shared_new_sites	SV_length_site	nonref	hprc	20	2.9662354054906914	1.85776633260722	4.020291401809241	16	2	2
EAS	shared_new_sites	SV_length_site	nonref	old_full	20	13.127169454086463	12.115445607358078	14.147925406869751	20	0	0
EAS	shared_new_sites	SV_length_site	nonref	old_hprc	20	3.9760176711896467	2.854318940378013	5.0466088074574085	17	2	1
EAS	shared_new_sites	small_complex	all	hprc	20	0.3185891638575966	0.11401772952392475	0.513963738295268	15	0	5
EAS	shared_new_sites	small_complex	all	old_full	20	16.281619118090383	16.21459325567922	16.352900655719957	20	0	0
EAS	shared_new_sites	small_complex	all	old_hprc	20	0.6457425525500771	0.45292348136274363	0.8467461331107523	19	0	1
EAS	shared_new_sites	small_complex	nonref	hprc	20	0.8765668275133476	0.40434660593795857	1.3622935472000337	15	1	4
EAS	shared_new_sites	small_complex	nonref	old_full	20	13.606296814474295	12.843121776819153	14.464074677658374	20	0	0
EAS	shared_new_sites	small_complex	nonref	old_hprc	20	1.1002293730786428	0.6238701542381123	1.55758646665803	19	0	1
EAS	shared_new_sites	truth_SV_length	all	hprc	20	3.830369357045149	2.3120014744982385	5.184186736481454	18	0	2
EAS	shared_new_sites	truth_SV_length	all	old_full	20	8.823529411764708	7.280813851458298	10.428711484593837	20	0	0
EAS	shared_new_sites	truth_SV_length	all	old_hprc	20	4.309165526675784	2.654852575884813	5.791265763003376	18	0	2
EAS	shared_new_sites	truth_SV_length	nonref	hprc	20	3.830369357045149	2.361644454483844	5.216831255168555	18	0	2
EAS	shared_new_sites	truth_SV_length	nonref	old_full	20	8.823529411764708	7.278688524590171	10.478834142956273	20	0	0
EAS	shared_new_sites	truth_SV_length	nonref	old_hprc	20	4.309165526675784	2.6498953226130126	5.787574943146568	18	0	2
SAS	all_truth	ALL	all	hprc	20	12.152980322885432	12.032463131084913	12.285256541921697	20	0	0
SAS	all_truth	ALL	all	old_full	20	17.51463459721481	17.482077753358258	17.546368565912175	20	0	0
SAS	all_truth	ALL	all	old_hprc	20	12.367672431499809	12.251405691574575	12.491685238056114	20	0	0
SAS	all_truth	ALL	nonref	hprc	20	0.3933597728999816	0.017307758281839843	0.8514664980635281	15	0	5
SAS	all_truth	ALL	nonref	old_full	20	13.228945550969307	12.59263509906031	13.927109545340766	20	0	0
SAS	all_truth	ALL	nonref	old_hprc	20	0.5254806126526401	0.14814794684508414	0.9915597103296083	15	0	5
SAS	all_truth	SNV	all	hprc	20	11.650969390311106	11.544010821101146	11.76732284204198	20	0	0
SAS	all_truth	SNV	all	old_full	20	17.632571013476284	17.60520358448975	17.65874705676068	20	0	0
SAS	all_truth	SNV	all	old_hprc	20	11.846788738039171	11.742145621461855	11.96301694554381	20	0	0
SAS	all_truth	SNV	nonref	hprc	20	0.34732997915393193	0.015553001145644516	0.759370206483761	14	0	6
SAS	all_truth	SNV	nonref	old_full	20	13.44994592561245	12.83667101853613	14.121247287657061	20	0	0
SAS	all_truth	SNV	nonref	old_hprc	20	0.44293976583439365	0.11531906670128518	0.846296169597405	16	0	4
