donor	arm	gene	global_edits	exact_genes	truth_bases	reconstructed_bases	masked_bases	legacy_infix_edits	two_field_eligible	two_field_correct	g_group_eligible	g_group_correct	three_field_eligible	three_field_correct
NA18620	AE-panel	DRB1	8610	0	27046	21512	1284	7774	1	1	1	1	1	1
NA19087	A-replay	A	8	1	7035	7027	0	8	1	1	1	1	1	1
NA19087	A-replay	B	0	2	8166	8166	0	0	1	1	1	1	1	1
NA19087	A-replay	C	0	2	8608	8608	0	0	1	1	1	1	1	1
NA19087	A-replay	DPA1	458	0	19245	19630	72	133	1	1	1	1	1	0
NA19087	A-replay	DPB1	32	0	22933	22933	0	32	1	1	1	1	1	1
NA19087	A-replay	DQA1	751	1	12186	12930	0	8	1	1	1	1	1	1
NA19087	A-replay	DQB1	873	0	14138	14986	772	773	1	1	1	1	1	1
NA19087	A-replay	DRB1	9560	0	29009	21443	1118	9383	1	1	1	1	1	0
NA19087	A-fixed	A	8	1	7035	7027	0	8	1	1	1	1	1	1
NA19087	A-fixed	B	0	2	8166	8166	0	0	1	1	1	1	1	1
NA19087	A-fixed	C	46	0	8608	8608	0	46	1	1	1	1	1	1
NA19087	A-fixed	DPA1	462	0	19245	19630	72	137	1	1	1	1	1	1
NA19087	A-fixed	DPB1	40	0	22933	22933	0	40	1	1	1	1	1	1
NA19087	A-fixed	DQA1	751	1	12186	12930	0	8	1	1	1	1	1	1
NA19087	A-fixed	DQB1	873	0	14138	14986	772	773	1	1	1	1	1	1
NA19087	A-fixed	DRB1	9560	0	29009	21443	1118	9383	1	1	1	1	1	0
NA19087	AE-ipd365	A	8	1	7035	7027	0	8	1	1	1	1	1	1
NA19087	AE-ipd365	B	76	0	8166	8166	0	76	1	1	1	1	1	1
NA19087	AE-ipd365	C	46	0	8608	8608	0	46	1	1	1	1	1	1
NA19087	AE-ipd365	DPA1	434	0	19245	19630	72	109	1	1	1	1	1	1
NA19087	AE-ipd365	DPB1	26	0	22933	22933	0	26	1	1	1	1	1	1
NA19087	AE-ipd365	DQA1	751	1	12186	12930	0	8	1	1	1	1	1	1
NA19087	AE-ipd365	DQB1	873	0	14138	14986	772	773	1	1	1	1	1	1
NA19087	AE-ipd365	DRB1	9560	0	29009	21443	1118	9383	1	1	1	1	1	0
NA19087	AE-panel	A	8	1	7035	7027	0	8	1	1	1	1	1	1
NA19087	AE-panel	B	76	0	8166	8166	0	76	1	1	1	1	1	1
NA19087	AE-panel	C	46	0	8608	8608	0	46	1	1	1	1	1	1
NA19087	AE-panel	DPA1	434	0	19245	19630	72	109	1	1	1	1	1	1
NA19087	AE-panel	DPB1	22	0	22933	22933	0	22	1	1	1	1	1	1
NA19087	AE-panel	DQA1	751	1	12186	12930	0	8	1	1	1	1	1	1
NA19087	AE-panel	DQB1	873	0	14138	14986	772	773	1	1	1	1	1	1
NA19087	AE-panel	DRB1	9560	0	29009	21443	1118	9383	1	1	1	1	1	0
NA21093	A-replay	A	0	2	7006	7006	0	0	1	1	1	1	1	1
NA21093	A-replay	B	58	0	8177	8186	56	58	1	1	1	1	1	1
NA21093	A-replay	C	0	2	8606	8606	0	0	1	1	1	1	1	1
NA21093	A-replay	DPA1	0	2	19550	19550	0	0	1	1	1	1	1	1
NA21093	A-replay	DPB1	7	1	23055	23048	0	7	1	1	1	1	1	1
NA21093	A-replay	DQA1	27	1	12888	12911	0	27	1	1	1	1	1	1
NA21093	A-replay	DQB1	760	0	14216	14966	752	760	1	1	1	1	1	1
NA21093	A-replay	DRB1	9885	0	29920	21406	1028	9789	1	1	1	1	1	1
NA21093	A-fixed	A	0	2	7006	7006	0	0	1	1	1	1	1	1
NA21093	A-fixed	B	58	0	8177	8186	56	58	1	1	1	1	1	1
NA21093	A-fixed	C	0	2	8606	8606	0	0	1	1	1	1	1	1
NA21093	A-fixed	DPA1	0	2	19550	19550	0	0	1	1	1	1	1	1
NA21093	A-fixed	DPB1	7	1	23055	23048	0	7	1	1	1	1	1	1
NA21093	A-fixed	DQA1	27	1	12888	12911	0	27	1	1	1	1	1	1
NA21093	A-fixed	DQB1	760	0	14216	14966	752	760	1	1	1	1	1	1
NA21093	A-fixed	DRB1	9885	0	29920	21406	1028	9789	1	1	1	1	1	1
NA21093	AE-ipd365	A	0	2	7006	7006	0	0	1	1	1	1	1	1
NA21093	AE-ipd365	B	58	0	8177	8186	56	58	1	1	1	1	1	1
NA21093	AE-ipd365	C	0	2	8606	8606	0	0	1	1	1	1	1	1
NA21093	AE-ipd365	DPA1	0	2	19550	19550	0	0	1	1	1	1	1	1
