run_accession	sample_accession	sample_alias	instrument_platform	library_strategy	library_source	library_layout	fastq_ftp
SRR30296438	SAMN41227943	pbAPR024	ILLUMINA	Hi-C	GENOMIC	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/038/SRR30296438/SRR30296438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/038/SRR30296438/SRR30296438_2.fastq.gz
SRR30296439	SAMN41227941	pbAPR022	ILLUMINA	Hi-C	GENOMIC	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/039/SRR30296439/SRR30296439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/039/SRR30296439/SRR30296439_2.fastq.gz
SRR30296535	SAMN41227965	pbAPR047	ILLUMINA	WGS	GENOMIC	PAIRED	
SRR30296538	SAMN41227962	pbAPR044	ILLUMINA	WGS	GENOMIC	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/038/SRR30296538/SRR30296538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/038/SRR30296538/SRR30296538_2.fastq.gz
SRR30296539	SAMN41227961	pbAPR043	ILLUMINA	WGS	GENOMIC	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/039/SRR30296539/SRR30296539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/039/SRR30296539/SRR30296539_2.fastq.gz
SRR30296540	SAMN41227960	pbAPR042	ILLUMINA	WGS	GENOMIC	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/040/SRR30296540/SRR30296540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/040/SRR30296540/SRR30296540_2.fastq.gz
SRR30296541	SAMN41227970	pbAPR052	ILLUMINA	WGS	GENOMIC	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/041/SRR30296541/SRR30296541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/041/SRR30296541/SRR30296541_2.fastq.gz
SRR30296542	SAMN41227969	pbAPR051	ILLUMINA	WGS	GENOMIC	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/042/SRR30296542/SRR30296542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/042/SRR30296542/SRR30296542_2.fastq.gz
SRR30296544	SAMN41227954	pbAPR036	ILLUMINA	WGS	GENOMIC	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/044/SRR30296544/SRR30296544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/044/SRR30296544/SRR30296544_2.fastq.gz
SRR30344987	SAMN43302894	APR034	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR303/087/SRR30344987/SRR30344987_1.fastq.gz
SRR29147641	SAMN41227961	pbAPR043	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/041/SRR29147641/SRR29147641_subreads.fastq.gz
SRR29147642	SAMN41227960	pbAPR042	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/042/SRR29147642/SRR29147642_subreads.fastq.gz
SRR29147643	SAMN41227959	pbAPR041	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/043/SRR29147643/SRR29147643_subreads.fastq.gz
SRR29147647	SAMN41227955	pbAPR037	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/047/SRR29147647/SRR29147647_subreads.fastq.gz
SRR29147648	SAMN41227954	pbAPR036	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/048/SRR29147648/SRR29147648_subreads.fastq.gz
SRR29147658	SAMN41227944	pbAPR025	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/058/SRR29147658/SRR29147658_subreads.fastq.gz
SRR29147665	SAMN41227937	pbAPR018	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/065/SRR29147665/SRR29147665_subreads.fastq.gz
SRR29147668	SAMN41227934	pbAPR014	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/068/SRR29147668/SRR29147668_subreads.fastq.gz
SRR29147670	SAMN41227932	pbAPR012	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/070/SRR29147670/SRR29147670_subreads.fastq.gz
SRR29147671	SAMN41227931	pbAPR011	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/071/SRR29147671/SRR29147671_subreads.fastq.gz
SRR29147673	SAMN41227929	pbAPR009	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/073/SRR29147673/SRR29147673_subreads.fastq.gz
SRR29147680	SAMN41227922	pbAPR002	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/080/SRR29147680/SRR29147680_subreads.fastq.gz
SRR29399616	SAMN41227901	APR036	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/016/SRR29399616/SRR29399616_1.fastq.gz
SRR29399619	SAMN41227892	APR026	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/019/SRR29399619/SRR29399619_1.fastq.gz
SRR29399621	SAMN41227890	APR024	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/021/SRR29399621/SRR29399621_1.fastq.gz
SRR29399622	SAMN41227889	APR023	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/022/SRR29399622/SRR29399622_1.fastq.gz
SRR29399624	SAMN41227917	APR052	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/024/SRR29399624/SRR29399624_1.fastq.gz
SRR29399628	SAMN41227913	APR048	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/028/SRR29399628/SRR29399628_1.fastq.gz
SRR29399629	SAMN41227912	APR047	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/029/SRR29399629/SRR29399629_1.fastq.gz
SRR29399631	SAMN41227910	APR045	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/031/SRR29399631/SRR29399631_1.fastq.gz
